Município;ibge6;uf;municipio;regiao;pais;ano;Indústria;Construção Civil;Comércio;Serviços;Agropecuária;Total
RO-ALTA FLORESTA D OESTE;110001;Rondônia;Alta Floresta D'Oeste;Norte;Brasil ;2019;1,98;1,11;1,53;2,03;1,57;1,82
RO-ARIQUEMES;110001;Rondônia;Ariquemes;Norte;Brasil ;2019;1,7;1,58;1,68;2,46;1,72;2,01
RO-CABIXI;110001;Rondônia;Cabixi;Norte;Brasil ;2019;1,41;0;1,41;2,1;1,78;1,89
RO-CACOAL;110001;Rondônia;Cacoal;Norte;Brasil ;2019;1,63;1,53;1,65;2,42;1,54;1,97
RO-CEREJEIRAS;110001;Rondônia;Cerejeiras;Norte;Brasil ;2019;1,48;1,72;1,85;2,14;1,69;1,93
RO-COLORADO DO OESTE;110001;Rondônia;Colorado do Oeste;Norte;Brasil ;2019;1,66;1,41;1,51;2,05;1,48;1,75
RO-CORUMBIARA;110001;Rondônia;Corumbiara;Norte;Brasil ;2019;1,66;1,53;1,33;2,74;2,03;2,23
RO-COSTA MARQUES;110001;Rondônia;Costa Marques;Norte;Brasil ;2019;1,32;0;1,3;1,98;1,51;1,79
RO-ESPIGAO D OESTE;110001;Rondônia;Espigão D'Oeste;Norte;Brasil ;2019;1,6;1,44;1,62;2,1;1,61;1,79
RO-GUAJARA-MIRIM;110001;Rondônia;Guajará-Mirim;Norte;Brasil ;2019;1,56;1,27;1,62;2,58;1,21;2,09
RO-JARU;110001;Rondônia;Jaru;Norte;Brasil ;2019;1,88;1,52;1,95;2,17;1,58;1,97
RO-JI-PARANA;110001;Rondônia;Ji-Paraná;Norte;Brasil ;2019;1,75;2,56;1,71;2,23;1,39;1,98
RO-MACHADINHO D OESTE;110001;Rondônia;Machadinho D'Oeste;Norte;Brasil ;2019;1,27;1,42;1,48;2,01;1,53;1,79
RO-NOVA BRASILANDIA D OESTE;110001;Rondônia;Nova Brasilândia D'Oeste;Norte;Brasil ;2019;1,88;1,78;1,39;2,4;1,5;1,97
RO-OURO PRETO DO OESTE;110001;Rondônia;Ouro Preto do Oeste;Norte;Brasil ;2019;1,47;2,25;1,61;2,24;1,44;1,95
RO-PIMENTA BUENO;110001;Rondônia;Pimenta Bueno;Norte;Brasil ;2019;1,68;1,54;1,64;2,27;1,59;1,83
RO-PORTO VELHO;110001;Rondônia;Porto Velho;Norte;Brasil ;2019;3,15;1,76;1,78;3,62;1,7;3,21
RO-PRESIDENTE MEDICI;110001;Rondônia;Presidente Médici;Norte;Brasil ;2019;1,96;1,91;1,53;1,89;1,49;1,79
RO-RIO CRESPO;110001;Rondônia;Rio Crespo;Norte;Brasil ;2019;2,23;0;1,06;2,06;1,71;1,89
RO-ROLIM DE MOURA;110001;Rondônia;Rolim de Moura;Norte;Brasil ;2019;1,81;1,28;1,55;1,93;1,56;1,77
RO-SANTA LUZIA D OESTE;110001;Rondônia;Santa Luzia D'Oeste;Norte;Brasil ;2019;1,3;0;1,37;1,94;1,55;1,68
RO-VILHENA;110001;Rondônia;Vilhena;Norte;Brasil ;2019;2;1,42;1,83;2,25;2,13;2,05
RO-SAO MIGUEL DO GUAPORE;110001;Rondônia;São Miguel do Guaporé;Norte;Brasil ;2019;2,06;2,25;1,44;2,32;1,75;2,01
RO-NOVA MAMORE;110001;Rondônia;Nova Mamoré;Norte;Brasil ;2019;1,38;1,69;1,57;1,91;1,55;1,79
RO-ALVORADA D OESTE;110001;Rondônia;Alvorada D'Oeste;Norte;Brasil ;2019;1,57;1,63;1,47;1,68;1,48;1,6
RO-ALTO ALEGRE DOS PARECIS;110001;Rondônia;Alto Alegre dos Parecis;Norte;Brasil ;2019;1,73;1,26;1,44;2,04;1,59;1,82
RO-ALTO PARAISO;110001;Rondônia;Alto Paraíso;Norte;Brasil ;2019;1,03;1,93;1,56;2,08;1,42;1,78
RO-BURITIS;110001;Rondônia;Buritis;Norte;Brasil ;2019;1,4;1,36;1,39;2,32;1,51;1,87
RO-NOVO HORIZONTE DO OESTE;110001;Rondônia;Novo Horizonte do Oeste;Norte;Brasil ;2019;1,49;1,06;1,31;2,03;1,6;1,8
RO-CACAULANDIA;110001;Rondônia;Cacaulândia;Norte;Brasil ;2019;0;0;1,26;2,22;1,55;1,99
RO-CAMPO NOVO DE RONDONIA;110001;Rondônia;Campo Novo de Rondônia;Norte;Brasil ;2019;0;1,54;1,37;2,4;1,69;2,13
RO-CANDEIAS DO JAMARI;110001;Rondônia;Candeias do Jamari;Norte;Brasil ;2019;1,25;0,38;1,57;2,38;1,67;1,95
RO-CASTANHEIRAS;110001;Rondônia;Castanheiras;Norte;Brasil ;2019;0;0;1,88;1,67;1,53;1,65
RO-CHUPINGUAIA;110001;Rondônia;Chupinguaia;Norte;Brasil ;2019;1,71;1,18;1,57;2,23;1,98;1,92
RO-CUJUBIM;110001;Rondônia;Cujubim;Norte;Brasil ;2019;1,3;1,89;1,6;2,43;1,43;1,95
