uf;municipio;ibge;ano;Dirigentes de Empresas e Organizacoes (Exceto de Interesse Publico);Diretores e Gerentes em Empresa de Servicos de Saude, da Educacao, ou de Servicos Culturais, Sociais ou Pessoais;Gerentes;Pesquisadores e Profissionais Policientificos;Profissionais das Ciencias Exatas, Fisicas e da Engenharia;Profissionais das Ciencias Biologicas, da Saude e Afins;Profissionais do Ensino;Profissionais das Ciencias Juridicas;Profissionais das Ciencias Sociais e Humanas;Comunicadores, Artistas e Religiosos;Profissionais em Gastronomia;Tecnicos Polivalentes;Tecnicos de Nivel Medio das Ciencias Fisicas, Quimicas, Engenharia e Afins;Tecnicos de Nivel Medio das Ciencias Biologicas, Bioquimicas, da Saude e Afins;Professores Leigos e de Nivel Medio;Tecnicos de Nivel Medio em Servicos de Transportes;Tecnicos de Nivel Medio nas Ciencias Administrativas;Tecnicos em Nivel Medio dos Servicos Culturais, das Comunicacoes e dos Desportos;Outros Tecnicos de Nivel Medio;Escriturarios;Trabalhadores de Atendimento ao Publico;Trabalhadores dos Servicos;Vendedores e Prestadores de Servicos do Comercio;Produtores na Exploracao Agropecuaria;Trabalhadores na Exploracao Agropecuaria;Pescadores e Extrativistas Florestais;Trabalhadores da Mecanizacao Agropecuaria e Florestal;Trabalhadores da Industria Extrativa e da Construcao Civil;Trabalhadores da Transformacao de Metais e de Compositos;Trabalhadores da Fabricacao e Instalacao Eletroeletronica;Montadores de Aparelhos e Instrumentos de Precisao e Musicais;Joalheiros, Vidreiros, Ceramistas e Afins;Trabalhadores nas Industrias Textil, do Curtimento, do Vestuario e das Artes Graficas;Trabalhadores das Industrias de Madeira e do Mobiliario;Trabalhadores de Funcoes Transversais;Trabalhadores do Artesanato;Trabalhadores em Industrias de Processos Continuos e Outras Industrias;Trabalhadores de Instalacoes Siderurgicas e de Materiais de Construcao;Trabalhadores de Instalacoes e Maquinas de Fabricacao de Celulose e Papel;Trabalhadores da Fabricacao de Alimentos, Bebidas e Fumo;Operadores de Producao, Captacao, Tratamento e Distribuicao (Energia, Agua e Utilidades);Trabalhadores em Servicos de Reparacao e Manutencao Mecanica;Polimantenedores;Outros Trabalhadores da Conservacao, Manutencao e Reparacao
Rondônia;Alta Floresta D'Oeste;110001;2019;0;0;-8;0;1;0;0;0;1;1;0;0;2;-6;-6;-1;4;2;-2;-20;0;-3;-44;-1;-10;-3;0;-85;-4;-1;0;0;-1;0;-9;0;0;-13;0;-4;1;-5;0;1
Rondônia;Ariquemes;110002;2019;-6;-4;-93;0;1;-6;-23;-1;-5;5;1;2;9;-3;-162;-10;-41;-9;8;55;-53;-23;225;-2;-10;-2;12;-117;-10;8;-1;-4;-3;-34;47;0;40;-20;-1;-44;33;5;-13;-7
Rondônia;Cabixi;110003;2019;0;0;-1;0;0;-2;0;0;0;0;0;0;-1;1;0;0;2;0;0;-7;4;-15;1;0;-24;0;-14;4;1;1;0;0;2;0;-7;0;0;4;0;-1;0;-2;0;0
Rondônia;Cacoal;110004;2019;3;-3;-34;0;-7;20;-2;-2;2;-6;-1;-1;31;44;-7;23;-15;0;3;61;4;62;173;0;-9;3;1;-158;6;24;0;31;-32;-7;187;0;0;-8;0;-56;-18;6;-10;-10
Rondônia;Cerejeiras;110005;2019;1;-1;-7;0;-1;3;1;0;-1;1;1;-1;0;2;-4;-1;3;0;0;16;13;7;-19;-2;5;0;7;-9;-6;1;0;0;-8;-1;-9;0;-1;0;0;-27;-1;5;-1;-2
Rondônia;Colorado do Oeste;110006;2019;0;-3;-8;0;0;2;1;0;-4;3;0;0;-3;-2;-4;0;2;0;-2;-3;9;4;-13;0;-5;3;-1;-16;-4;3;0;0;-12;5;1;0;0;0;0;-3;-7;0;-1;1
Rondônia;Corumbiara;110007;2019;0;0;-3;0;0;0;-12;0;0;0;0;0;0;1;-12;1;0;0;-1;2;3;1;-3;1;51;0;2;-1;-2;1;0;0;0;1;-2;0;0;0;0;2;0;3;0;0
Rondônia;Costa Marques;110008;2019;0;0;-1;0;0;1;0;0;0;0;0;0;0;0;0;0;-1;0;-1;0;1;7;9;1;-9;-1;-1;0;0;0;0;0;-2;5;-1;0;0;0;0;1;0;-1;0;0
Rondônia;Espigão D'Oeste;110009;2019;1;0;-3;0;0;2;0;0;4;-2;-1;0;-2;1;0;5;-8;-1;-7;-3;-13;18;3;-1;30;8;2;0;2;0;0;0;-3;-58;-69;0;0;3;0;-17;-3;9;-1;-2
Rondônia;Guajará-Mirim;110010;2019;0;-1;-18;0;0;-4;0;0;3;0;0;0;-1;-3;1;-8;-12;-1;0;-95;-18;-20;8;1;0;0;0;-12;1;0;0;0;1;3;8;0;0;-2;-1;-17;0;-3;-4;0
