uf;municipio;regiao;pais;ibge;ano;Dirigentes de Empresas e Organizacoes (Exceto de Interesse Publico);Diretores e Gerentes em Empresa de Servicos de Saude, da Educacao, ou de Servicos Culturais, Sociais ou Pessoais;Gerentes;Pesquisadores e Profissionais Policientificos;Profissionais das Ciencias Exatas, Fisicas e da Engenharia;Profissionais das Ciencias Biologicas, da Saude e Afins;Profissionais do Ensino;Profissionais das Ciencias Juridicas;Profissionais das Ciencias Sociais e Humanas;Comunicadores, Artistas e Religiosos;Profissionais em Gastronomia;Tecnicos Polivalentes;Tecnicos de Nivel Medio das Ciencias Fisicas, Quimicas, Engenharia e Afins;Tecnicos de Nivel Medio das Ciencias Biologicas, Bioquimicas, da Saude e Afins;Professores Leigos e de Nivel Medio;Tecnicos de Nivel Medio em Servicos de Transportes;Tecnicos de Nivel Medio nas Ciencias Administrativas;Tecnicos em Nivel Medio dos Servicos Culturais, das Comunicacoes e dos Desportos;Outros Tecnicos de Nivel Medio;Escriturarios;Trabalhadores de Atendimento ao Publico;Trabalhadores dos Servicos;Vendedores e Prestadores de Servicos do Comercio;Produtores na Exploracao Agropecuaria;Trabalhadores na Exploracao Agropecuaria;Pescadores e Extrativistas Florestais;Trabalhadores da Mecanizacao Agropecuaria e Florestal;Trabalhadores da Industria Extrativa e da Construcao Civil;Trabalhadores da Transformacao de Metais e de Compositos;Trabalhadores da Fabricacao e Instalacao Eletroeletronica;Montadores de Aparelhos e Instrumentos de Precisao e Musicais;Joalheiros, Vidreiros, Ceramistas e Afins;Trabalhadores nas Industrias Textil, do Curtimento, do Vestuario e das Artes Graficas;Trabalhadores das Industrias de Madeira e do Mobiliario;Trabalhadores de Funcoes Transversais;Trabalhadores do Artesanato;Trabalhadores em Industrias de Processos Continuos e Outras Industrias;Trabalhadores de Instalacoes Siderurgicas e de Materiais de Construcao;Trabalhadores de Instalacoes e Maquinas de Fabricacao de Celulose e Papel;Trabalhadores da Fabricacao de Alimentos, Bebidas e Fumo;Operadores de Producao, Captacao, Tratamento e Distribuicao (Energia, Agua e Utilidades);Trabalhadores em Servicos de Reparacao e Manutencao Mecanica;Polimantenedores;Outros Trabalhadores da Conservacao, Manutencao e Reparacao
Rondônia;Alta Floresta D'Oeste;Norte;Brasil;110001;2019;0.00;0.00;-8.00;0.00;1.00;0.00;0.00;0.00;1.00;1.00;0.00;0.00;2.00;-6.00;-6.00;-1.00;4.00;2.00;-2.00;-20.00;0.00;-3.00;-44.00;-1.00;-10.00;-3.00;0.00;-85.00;-4.00;-1.00;0.00;0.00;-1.00;0.00;-9.00;0.00;0.00;-13.00;0.00;-4.00;1.00;-5.00;0.00;1.00
Rondônia;Ariquemes;Norte;Brasil;110002;2019;-6.00;-4.00;-93.00;0.00;1.00;-6.00;-23.00;-1.00;-5.00;5.00;1.00;2.00;9.00;-3.00;-162.00;-10.00;-41.00;-9.00;8.00;55.00;-53.00;-23.00;225.00;-2.00;-10.00;-2.00;12.00;-117.00;-10.00;8.00;-1.00;-4.00;-3.00;-34.00;47.00;0.00;40.00;-20.00;-1.00;-44.00;33.00;5.00;-13.00;-7.00
Rondônia;Cabixi;Norte;Brasil;110003;2019;0.00;0.00;-1.00;0.00;0.00;-2.00;0.00;0.00;0.00;0.00;0.00;0.00;-1.00;1.00;0.00;0.00;2.00;0.00;0.00;-7.00;4.00;-15.00;1.00;0.00;-24.00;0.00;-14.00;4.00;1.00;1.00;0.00;0.00;2.00;0.00;-7.00;0.00;0.00;4.00;0.00;-1.00;0.00;-2.00;0.00;0.00
Rondônia;Cacoal;Norte;Brasil;110004;2019;3.00;-3.00;-34.00;0.00;-7.00;20.00;-2.00;-2.00;2.00;-6.00;-1.00;-1.00;31.00;44.00;-7.00;23.00;-15.00;0.00;3.00;61.00;4.00;62.00;173.00;0.00;-9.00;3.00;1.00;-158.00;6.00;24.00;0.00;31.00;-32.00;-7.00;187.00;0.00;0.00;-8.00;0.00;-56.00;-18.00;6.00;-10.00;-10.00
Rondônia;Cerejeiras;Norte;Brasil;110005;2019;1.00;-1.00;-7.00;0.00;-1.00;3.00;1.00;0.00;-1.00;1.00;1.00;-1.00;0.00;2.00;-4.00;-1.00;3.00;0.00;0.00;16.00;13.00;7.00;-19.00;-2.00;5.00;0.00;7.00;-9.00;-6.00;1.00;0.00;0.00;-8.00;-1.00;-9.00;0.00;-1.00;0.00;0.00;-27.00;-1.00;5.00;-1.00;-2.00
Rondônia;Colorado do Oeste;Norte;Brasil;110006;2019;0.00;-3.00;-8.00;0.00;0.00;2.00;1.00;0.00;-4.00;3.00;0.00;0.00;-3.00;-2.00;-4.00;0.00;2.00;0.00;-2.00;-3.00;9.00;4.00;-13.00;0.00;-5.00;3.00;-1.00;-16.00;-4.00;3.00;0.00;0.00;-12.00;5.00;1.00;0.00;0.00;0.00;0.00;-3.00;-7.00;0.00;-1.00;1.00
Rondônia;Corumbiara;Norte;Brasil;110007;2019;0.00;0.00;-3.00;0.00;0.00;0.00;-12.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;-12.00;1.00;0.00;0.00;-1.00;2.00;3.00;1.00;-3.00;1.00;51.00;0.00;2.00;-1.00;-2.00;1.00;0.00;0.00;0.00;1.00;-2.00;0.00;0.00;0.00;0.00;2.00;0.00;3.00;0.00;0.00
Rondônia;Costa Marques;Norte;Brasil;110008;2019;0.00;0.00;-1.00;0.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;-1.00;0.00;-1.00;0.00;1.00;7.00;9.00;1.00;-9.00;-1.00;-1.00;0.00;0.00;0.00;0.00;0.00;-2.00;5.00;-1.00;0.00;0.00;0.00;0.00;1.00;0.00;-1.00;0.00;0.00
Rondônia;Espigão D'Oeste;Norte;Brasil;110009;2019;1.00;0.00;-3.00;0.00;0.00;2.00;0.00;0.00;4.00;-2.00;-1.00;0.00;-2.00;1.00;0.00;5.00;-8.00;-1.00;-7.00;-3.00;-13.00;18.00;3.00;-1.00;30.00;8.00;2.00;0.00;2.00;0.00;0.00;0.00;-3.00;-58.00;-69.00;0.00;0.00;3.00;0.00;-17.00;-3.00;9.00;-1.00;-2.00
Rondônia;Guajará-Mirim;Norte;Brasil;110010;2019;0.00;-1.00;-18.00;0.00;0.00;-4.00;0.00;0.00;3.00;0.00;0.00;0.00;-1.00;-3.00;1.00;-8.00;-12.00;-1.00;0.00;-95.00;-18.00;-20.00;8.00;1.00;0.00;0.00;0.00;-12.00;1.00;0.00;0.00;0.00;1.00;3.00;8.00;0.00;0.00;-2.00;-1.00;-17.00;0.00;-3.00;-4.00;0.00
