ibge6;uf;municipio;regiao;pais;ano;MEMBROS SUPERIORES E DIRIGENTES DO PODER PUBLICO;DIRIGENTES DE EMPRESAS E ORGANIZACOES (EXCETO DE INTERESSE PUBLICO);DIRETORES E GERENTES EM EMPRESA DE SERVICOS DE SAUDE, DA EDUCACAO, OU DE SERVICOS CUL;GERENTES;PESQUISADORES E PROFISSIONAIS POLICIENTIFICOS;PROFISSIONAIS DAS CIENCIAS EXATAS, FISICAS E DA ENGENHARIA;PROFISSIONAIS DAS CIENCIAS BIOLOGICAS, DA SAUDE E AFINS;PROFISSIONAIS DO ENSINO;PROFISSIONAIS DAS CIENCIAS JURIDICAS;PROFISSIONAIS DAS CIENCIAS SOCIAIS E HUMANAS;COMUNICADORES, ARTISTAS E RELIGIOSOS;PROFISSIONAIS EM GASTRONOMIA;TECNICOS POLIVALENTES;TECNICOS DE NIVEL MEDIO DAS CIENCIAS FISICAS, QUIMICAS, ENGENHARIA E AFINS;TECNICOS DE NIVEL MEDIO DAS CIENCIAS BIOLOGICAS, BIOQUIMICAS, DA SAUDE E AFINS;PROFESSORES LEIGOS E DE NIVEL MEDIO;TECNICOS DE NIVEL MEDIO EM SERVICOS DE TRANSPORTES;TECNICOS DE NIVEL MEDIO NAS CIENCIAS ADMINISTRATIVAS;TECNICOS EM NIVEL MEDIO DOS SERVICOS CULTURAIS, DAS COMUNICACOES E DOS DESPORTOS;OUTROS TECNICOS DE NIVEL MEDIO;ESCRITURARIOS;TRABALHADORES DE ATENDIMENTO AO PUBLICO;TRABALHADORES DOS SERVICOS;VENDEDORES E PRESTADORES DE SERVICOS DO COMERCIO;PRODUTORES NA EXPLORACAO AGROPECUARIA;TRABALHADORES NA EXPLORACAO AGROPECUARIA;PESCADORES E EXTRATIVISTAS FLORESTAIS;TRABALHADORES DA MECANIZACAO AGROPECUARIA E FLORESTAL;TRABALHADORES DA INDUSTRIA EXTRATIVA E DA CONSTRUCAO CIVIL;TRABALHADORES DA TRANSFORMACAO DE METAIS E DE COMPOSITOS;TRABALHADORES DA FABRICACAO E INSTALACAO ELETROELETRONICA;MONTADORES DE APARELHOS E INSTRUMENTOS DE PRECISAO E MUSICAIS;JOALHEIROS, VIDREIROS, CERAMISTAS E AFINS;TRABALHADORES NAS INDUSTRIAS TEXTIL, DO CURTIMENTO, DO VESTUARIO E DAS ARTES GRAFICAS;TRABALHADORES DAS INDUSTRIAS DE MADEIRA E DO MOBILIARIO;TRABALHADORES DE FUNCOES TRANSVERSAIS;TRABALHADORES DO ARTESANATO;TRABALHADORES EM INDUSTRIAS DE PROCESSOS CONTINUOS E OUTRAS INDUSTRIAS;TRABALHADORES DE INSTALACOES SIDERURGICAS E DE MATERIAIS DE CONSTRUCAO;TRABALHADORES DE INSTALACOES E MAQUINAS DE FABRICACAO DE CELULOSE E PAPEL;TRABALHADORES DA FABRICACAO DE ALIMENTOS, BEBIDAS E FUMO;OPERADORES DE PRODUCAO, CAPTACAO, TRATAMENTO E DISTRIBUICAO (ENERGIA, AGUA E UTILIDAD;TRABALHADORES EM SERVICOS DE REPARACAO E MANUTENCAO MECANICA;POLIMANTENEDORES;OUTROS TRABALHADORES DA CONSERVACAO, MANUTENCAO E REPARACAO;Total
110001;Rondônia;Alta Floresta D'Oeste;Norte;Brasil;2019;67;5;0;89;0;13;66;227;4;38;6;1;4;47;89;26;2;38;2;5;249;130;536;306;1;264;15;22;91;24;7;0;1;17;42;173;0;0;3;0;59;31;45;17;72;2834
110002;Rondônia;Ariquemes;Norte;Brasil;2019;2269;33;19;659;0;28;189;404;15;275;31;11;5;165;264;353;27;375;48;64;2627;1090;2184;2368;15;623;44;59;484;224;41;8;17;76;388;1411;0;53;119;1;336;127;384;88;129;18130
110003;Rondônia;Cabixi;Norte;Brasil;2019;30;0;0;18;0;2;21;55;4;11;0;1;0;2;16;6;0;9;0;2;65;17;170;43;0;55;1;41;24;1;1;0;0;5;12;65;0;0;15;0;6;0;7;1;1;707
110004;Rondônia;Cacoal;Norte;Brasil;2019;222;63;14;584;0;63;338;890;48;299;54;9;28;299;439;188;72;325;98;67;2238;1288;2871;2509;9;415;21;22;821;279;114;6;128;183;187;1846;0;33;83;0;452;124;312;56;68;18166
110005;Rondônia;Cerejeiras;Norte;Brasil;2019;60;2;3;76;0;3;45;55;2;33;4;0;2;19;80;97;2;31;6;0;295;128;390;318;2;124;1;35;44;21;9;1;2;51;46;135;0;2;0;0;67;3;63;3;3;2263
110006;Rondônia;Colorado do Oeste;Norte;Brasil;2019;25;6;1;62;0;5;55;61;6;42;9;0;4;20;78;86;1;79;1;5;210;130;377;308;0;133;5;14;81;35;6;0;0;66;83;173;0;1;19;0;44;38;62;9;7;2347
110007;Rondônia;Corumbiara;Norte;Brasil;2019;30;12;0;29;0;1;18;124;4;11;0;0;1;2;24;17;0;37;0;2;74;31;253;63;3;417;3;105;52;6;1;0;0;1;1;104;0;1;7;0;29;2;15;0;0;1480
110008;Rondônia;Costa Marques;Norte;Brasil;2019;55;18;18;11;0;2;15;134;5;11;0;0;0;5;36;36;0;46;1;1;86;35;194;76;1;74;1;2;11;0;1;0;5;1;12;45;0;0;0;0;14;0;3;0;0;955
110009;Rondônia;Espigão D'Oeste;Norte;Brasil;2019;126;7;4;126;0;14;92;141;5;66;9;1;2;18;104;156;11;93;2;12;471;208;662;524;4;465;21;25;100;26;11;0;4;36;157;562;0;0;11;0;401;26;100;26;125;4955
110010;Rondônia;Guajará-Mirim;Norte;Brasil;2019;65;104;43;115;0;5;110;268;9;56;11;0;0;18;133;46;20;60;12;1;562;189;775;580;11;44;2;1;28;8;2;0;0;10;12;259;0;1;2;2;72;10;37;15;58;3767
110011;Rondônia;Jaru;Norte;Brasil;2019;307;14;11;320;0;14;165;167;9;119;20;3;2;90;150;356;12;133;38;122;1271;518;1374;1309;0;230;2;12;373;158;13;3;13;26;66;570;0;68;21;0;1846;62;155;51;221;10414
110012;Rondônia;Ji-Paraná;Norte;Brasil;2019;120;60;45;1482;1;109;503;1047;34;468;89;12;19;382;570;254;91;668;94;185;4670;1633;4140;3201;6;528;28;41;1320;482;512;2;13;301;250;3641;1;53;74;10;1018;261;551;142;628;29739
110013;Rondônia;Machadinho D'Oeste;Norte;Brasil;2019;5;79;29;108;0;0;59;362;9;42;10;1;0;26;76;44;5;126;2;0;388;296;514;418;5;126;2;23;44;5;22;0;0;6;104;210;0;0;3;0;46;2;46;12;42;3297
110014;Rondônia;Nova Brasilândia D'Oeste;Norte;Brasil;2019;1;6;2;55;0;1;46;0;4;21;5;0;3;27;59;203;3;29;2;0;199;89;279;229;0;53;2;14;81;16;5;0;0;4;20;178;0;3;0;0;19;0;45;4;3;1710
110015;Rondônia;Ouro Preto do Oeste;Norte;Brasil;2019;100;6;3;229;0;9;114;347;16;94;8;0;3;62;150;98;4;91;6;2;696;446;1147;828;11;208;9;9;260;28;327;2;25;65;59;283;0;0;3;0;208;14;87;24;74;6155
110018;Rondônia;Pimenta Bueno;Norte;Brasil;2019;5;110;6;261;0;46;117;222;25;119;15;2;10;94;114;234;17;128;12;71;1935;398;1221;915;12;467;23;34;296;376;31;1;26;110;61;1534;0;8;92;0;437;89;412;53;26;10165
110020;Rondônia;Porto Velho;Norte;Brasil;2019;5035;163;75;3097;148;865;2680;4972;858;2916;573;32;75;43381;3166;3872;570;4065;390;408;21538;5529;22811;10359;11;894;153;113;2997;1028;1135;6;67;645;609;6747;1;105;336;25;1351;689;1281;410;619;158149
110025;Rondônia;Presidente Médici;Norte;Brasil;2019;8;3;8;80;0;2;37;38;4;42;17;0;4;25;32;125;6;19;6;11;389;114;467;234;0;163;37;9;79;8;5;0;0;46;17;417;0;7;0;0;51;17;31;7;16;2581
110026;Rondônia;Rio Crespo;Norte;Brasil;2019;6;23;5;10;0;3;19;56;2;15;0;1;2;4;16;3;2;16;4;0;67;4;107;15;0;108;22;52;48;2;0;0;0;0;12;43;0;1;2;0;2;0;10;1;2;685
110028;Rondônia;Rolim de Moura;Norte;Brasil;2019;134;32;12;294;0;45;214;588;6;222;34;4;21;95;260;116;9;171;35;68;1143;736;2563;1254;5;218;19;39;241;91;54;3;5;109;115;1625;1;10;35;1;818;177;236;67;211;12136
110029;Rondônia;Santa Luzia D'Oeste;Norte;Brasil;2019;16;11;1;10;0;5;17;35;4;17;5;0;3;12;30;60;0;13;0;2;50;35;199;42;3;145;1;47;34;6;0;0;0;3;2;106;0;2;11;0;25;2;18;6;2;980
110030;Rondônia;Vilhena;Norte;Brasil;2019;40;143;26;836;0;91;341;538;32;421;45;5;14;249;381;691;62;333;98;68;3432;1175;3278;2154;7;537;55;208;632;489;37;4;8;234;193;2914;0;43;51;0;836;87;863;99;217;21967
110032;Rondônia;São Miguel do Guaporé;Norte;Brasil;2019;11;20;2;94;0;8;65;177;4;53;11;0;0;6;92;79;3;34;0;56;358;138;492;357;3;107;5;25;22;77;3;0;1;2;10;423;0;1;3;0;391;25;59;11;116;3344
110033;Rondônia;Nova Mamoré;Norte;Brasil;2019;25;14;28;51;3;2;60;275;7;25;0;0;5;17;67;59;2;67;1;2;270;66;381;200;1;96;1;7;28;2;4;0;0;1;10;108;0;4;26;0;40;3;17;0;0;1975
110034;Rondônia;Alvorada D'Oeste;Norte;Brasil;2019;20;11;0;25;1;2;16;196;6;15;2;1;0;13;5;4;0;12;0;1;498;58;135;140;2;67;0;7;9;5;2;0;0;0;10;37;0;0;0;0;26;7;12;3;0;1348
