Município;ibge6;uf;municipio;regiao;pais;Extrativa Mineral;Prod. Mineral Não Metálico;Indústria Metalúrgica;Indústria Mecânica;Elétrico e Comunic;Material de Transporte;Madeira e Mobiliário;Papel e Gráf;Borracha, Fumo, Couros;Indústria Química;Indústria Têxtil;Indústria Calçados;Alimentos e Bebidas;Serviço Utilidade Pública;Construção Civil;Comércio Varejista;Comércio Atacadista;Instituição Financeira;Adm Técnica Profissional;Transporte e Comunicações;Aloj Comunic;Médicos Odontológicos Vet;Ensino;Administração Pública;Agricultura;Total
RO-ALTA FLORESTA D OESTE;110001;Rondônia;Alta Floresta D'Oeste;Norte;Brasil;2;16;9;7;0;0;67;0;0;3;3;0;109;93;51;706;42;61;69;96;91;43;21;985;360;2834
RO-ARIQUEMES;110002;Rondônia;Ariquemes;Norte;Brasil;331;127;311;12;1;64;612;40;75;97;29;0;978;114;393;5836;655;358;935;743;1364;701;699;2663;992;18130
RO-CABIXI;110003;Rondônia;Cabixi;Norte;Brasil;0;23;1;0;0;0;19;0;0;0;0;0;30;0;0;63;6;15;5;8;19;2;3;355;158;707
RO-CACOAL;110004;Rondônia;Cacoal;Norte;Brasil;66;415;67;3;3;37;310;56;299;70;165;27;1130;21;800;5541;895;271;1149;855;1232;969;1176;2123;486;18166
RO-CEREJEIRAS;110005;Rondônia;Cerejeiras;Norte;Brasil;0;6;0;13;0;0;45;10;3;0;41;0;101;0;13;661;121;53;107;120;109;35;31;589;205;2263
RO-COLORADO DO OESTE;110006;Rondônia;Colorado do Oeste;Norte;Brasil;0;38;10;2;0;0;115;9;133;3;25;0;50;15;58;744;17;48;71;94;92;32;23;590;178;2347
RO-CORUMBIARA;110007;Rondônia;Corumbiara;Norte;Brasil;0;6;4;0;0;0;7;0;0;0;0;0;30;0;10;145;0;11;9;33;7;10;2;521;685;1480
RO-COSTA MARQUES;110008;Rondônia;Costa Marques;Norte;Brasil;4;5;1;0;0;0;12;0;0;0;0;0;0;0;0;156;15;30;13;30;22;9;0;566;92;955
RO-ESPIGAO D OESTE;110009;Rondônia;Espigão D'Oeste;Norte;Brasil;21;21;16;4;0;0;443;5;19;12;11;0;679;2;161;1134;109;63;79;395;291;84;34;943;429;4955
RO-GUAJARA-MIRIM;110010;Rondônia;Guajará-Mirim;Norte;Brasil;0;3;5;0;0;25;1;18;2;16;11;0;101;4;8;1122;492;58;54;148;162;114;92;1267;64;3767
RO-JARU;110011;Rondônia;Jaru;Norte;Brasil;21;89;57;18;4;16;78;19;19;0;16;0;2935;4;190;3431;121;132;219;293;536;140;168;1555;353;10414
